,_id,length,n_geospans
1146,6220493,53660,233
1147,4296868,15988,29
1148,5353743,38254,33
1149,3320621,53708,67
1150,3681859,39930,11
1151,4527764,31133,45
1152,3745410,28050,31
1153,6287361,28686,31
1154,4063483,31859,7
1155,5749843,45805,14
1156,6421950,27831,40
1157,5030079,21813,28
1158,5371324,63431,131
1159,4529016,34766,19
1160,4476797,45722,34
1161,5226692,44717,97
1162,2841266,41929,21
1163,5677266,41512,20
1164,4489449,25601,64
1165,2861593,40486,59
1166,5842468,15056,30
1167,4158560,17916,31
1168,5139964,20939,148
1169,4629694,16359,90
1170,1633741,29049,27
1171,2894007,25745,26
1172,4575109,29871,55
1173,5345865,34471,74
1174,3534574,35159,57
1175,3467640,35373,62
1176,5105321,25825,50
1177,3829986,34182,60
1178,3150802,15014,6
1179,3354664,24702,66
1180,4561474,15052,15
1181,4186830,50426,33
1182,6407501,29084,8
1183,4117488,30426,50
1184,4985060,34347,46
1185,4510763,9967,35
1186,5792432,26949,37
1187,4937005,42279,12
1188,5436104,29428,19
1189,4714524,17415,14
1190,5947463,22651,6
1191,4657061,9838,54
1192,5872744,20404,20
1193,4120722,25943,27
1194,5579427,29441,10
1195,3986856,24692,22
1196,3136700,36999,46
1197,3268745,51459,33
1198,3561247,27446,134
1199,3527359,22364,13
1200,6264014,31765,141
1201,5427865,10170,11
1202,5615017,9354,13
1203,6234538,20150,61
1204,4374337,28827,19
1205,6305578,56802,42
1206,3226500,32396,24
1207,5584035,38493,37
1208,5606046,14820,21
1209,4650754,21541,4
1210,4189602,37611,47
1211,5464483,26074,67
1212,4502940,25220,64
1213,4871458,32602,15
1214,5559487,27161,28
1215,6013216,24443,5
1216,5805238,77511,52
1217,4719217,30659,10
1218,4710603,27433,145
1219,6262728,45647,111
1220,5325469,37408,59
1221,4089080,43668,13
1222,5070737,37916,15
1223,3360010,33136,14
1224,2779936,31709,90
1225,6210267,41006,16
1226,5804079,19826,24
1227,5856224,24065,53
1228,3182932,19243,24
1229,4620687,36916,21
1230,4388389,21833,18
1231,6006744,27727,121
1232,5031424,35151,17
1233,3532499,32504,14
1234,6416922,30003,31
1235,3543354,31073,8
1236,3016965,13801,42
1237,5708046,33960,27
1238,4461417,38966,67
1239,3658852,32030,28
1240,5754130,32847,109
1241,5035056,38043,88
1242,6221015,66282,27
1243,5714345,48929,58
